DPU 0, Thread 0, Cycles: 592
DPU 0, Thread 1, Cycles: 448
DPU 0, Thread 2, Cycles: 480
DPU 0, Thread 3, Cycles: 464
DPU 0, Thread 4, Cycles: 496
DPU 0, Thread 5, Cycles: 496
DPU 0, Thread 6, Cycles: 512
DPU 0, Thread 7, Cycles: 544
DPU 0, Thread 8, Cycles: 560
DPU 0, Thread 9, Cycles: 576
DPU 0, Thread 10, Cycles: 576
DPU 0, Thread 11, Cycles: 576
DPU 0, Thread 12, Cycles: 576
DPU 0, Thread 13, Cycles: 576
DPU 0, Thread 14, Cycles: 576
DPU 0, Thread 15, Cycles: 576
DPU 1, Thread 0, Cycles: 592
DPU 1, Thread 1, Cycles: 448
DPU 1, Thread 2, Cycles: 480
DPU 1, Thread 3, Cycles: 464
DPU 1, Thread 4, Cycles: 496
DPU 1, Thread 5, Cycles: 496
DPU 1, Thread 6, Cycles: 512
DPU 1, Thread 7, Cycles: 544
DPU 1, Thread 8, Cycles: 560
DPU 1, Thread 9, Cycles: 576
DPU 1, Thread 10, Cycles: 576
DPU 1, Thread 11, Cycles: 576
DPU 1, Thread 12, Cycles: 576
DPU 1, Thread 13, Cycles: 576
DPU 1, Thread 14, Cycles: 576
DPU 1, Thread 15, Cycles: 576
DPU 2, Thread 0, Cycles: 592
DPU 2, Thread 1, Cycles: 448
DPU 2, Thread 2, Cycles: 480
DPU 2, Thread 3, Cycles: 464
DPU 2, Thread 4, Cycles: 496
DPU 2, Thread 5, Cycles: 496
DPU 2, Thread 6, Cycles: 512
DPU 2, Thread 7, Cycles: 544
DPU 2, Thread 8, Cycles: 560
DPU 2, Thread 9, Cycles: 576
DPU 2, Thread 10, Cycles: 576
DPU 2, Thread 11, Cycles: 576
DPU 2, Thread 12, Cycles: 576
DPU 2, Thread 13, Cycles: 576
DPU 2, Thread 14, Cycles: 576
DPU 2, Thread 15, Cycles: 576
DPU 3, Thread 0, Cycles: 592
DPU 3, Thread 1, Cycles: 448
DPU 3, Thread 2, Cycles: 480
DPU 3, Thread 3, Cycles: 464
DPU 3, Thread 4, Cycles: 496
DPU 3, Thread 5, Cycles: 496
DPU 3, Thread 6, Cycles: 512
DPU 3, Thread 7, Cycles: 544
DPU 3, Thread 8, Cycles: 560
DPU 3, Thread 9, Cycles: 576
DPU 3, Thread 10, Cycles: 576
DPU 3, Thread 11, Cycles: 576
DPU 3, Thread 12, Cycles: 576
DPU 3, Thread 13, Cycles: 576
DPU 3, Thread 14, Cycles: 576
DPU 3, Thread 15, Cycles: 576
DPU 4, Thread 0, Cycles: 592
DPU 4, Thread 1, Cycles: 448
DPU 4, Thread 2, Cycles: 480
DPU 4, Thread 3, Cycles: 464
DPU 4, Thread 4, Cycles: 496
DPU 4, Thread 5, Cycles: 496
DPU 4, Thread 6, Cycles: 512
DPU 4, Thread 7, Cycles: 544
DPU 4, Thread 8, Cycles: 560
DPU 4, Thread 9, Cycles: 576
DPU 4, Thread 10, Cycles: 576
DPU 4, Thread 11, Cycles: 576
DPU 4, Thread 12, Cycles: 576
DPU 4, Thread 13, Cycles: 576
DPU 4, Thread 14, Cycles: 576
DPU 4, Thread 15, Cycles: 576
DPU 5, Thread 0, Cycles: 576
DPU 5, Thread 1, Cycles: 448
DPU 5, Thread 2, Cycles: 480
DPU 5, Thread 3, Cycles: 464
DPU 5, Thread 4, Cycles: 496
DPU 5, Thread 5, Cycles: 496
DPU 5, Thread 6, Cycles: 512
DPU 5, Thread 7, Cycles: 544
DPU 5, Thread 8, Cycles: 560
DPU 5, Thread 9, Cycles: 576
DPU 5, Thread 10, Cycles: 576
DPU 5, Thread 11, Cycles: 576
DPU 5, Thread 12, Cycles: 576
DPU 5, Thread 13, Cycles: 576
DPU 5, Thread 14, Cycles: 592
DPU 5, Thread 15, Cycles: 384
DPU 6, Thread 0, Cycles: 576
DPU 6, Thread 1, Cycles: 448
DPU 6, Thread 2, Cycles: 480
DPU 6, Thread 3, Cycles: 464
DPU 6, Thread 4, Cycles: 496
DPU 6, Thread 5, Cycles: 496
DPU 6, Thread 6, Cycles: 512
DPU 6, Thread 7, Cycles: 544
DPU 6, Thread 8, Cycles: 560
DPU 6, Thread 9, Cycles: 576
DPU 6, Thread 10, Cycles: 576
DPU 6, Thread 11, Cycles: 576
DPU 6, Thread 12, Cycles: 576
DPU 6, Thread 13, Cycles: 576
DPU 6, Thread 14, Cycles: 592
DPU 6, Thread 15, Cycles: 384
DPU 7, Thread 0, Cycles: 576
DPU 7, Thread 1, Cycles: 448
DPU 7, Thread 2, Cycles: 480
DPU 7, Thread 3, Cycles: 464
DPU 7, Thread 4, Cycles: 496
DPU 7, Thread 5, Cycles: 496
DPU 7, Thread 6, Cycles: 512
DPU 7, Thread 7, Cycles: 544
DPU 7, Thread 8, Cycles: 560
DPU 7, Thread 9, Cycles: 576
DPU 7, Thread 10, Cycles: 576
DPU 7, Thread 11, Cycles: 576
DPU 7, Thread 12, Cycles: 576
DPU 7, Thread 13, Cycles: 576
DPU 7, Thread 14, Cycles: 592
DPU 7, Thread 15, Cycles: 384
DPU 8, Thread 0, Cycles: 576
DPU 8, Thread 1, Cycles: 448
DPU 8, Thread 2, Cycles: 480
DPU 8, Thread 3, Cycles: 464
DPU 8, Thread 4, Cycles: 496
DPU 8, Thread 5, Cycles: 496
DPU 8, Thread 6, Cycles: 512
DPU 8, Thread 7, Cycles: 544
DPU 8, Thread 8, Cycles: 560
DPU 8, Thread 9, Cycles: 576
DPU 8, Thread 10, Cycles: 576
DPU 8, Thread 11, Cycles: 576
DPU 8, Thread 12, Cycles: 576
DPU 8, Thread 13, Cycles: 576
DPU 8, Thread 14, Cycles: 592
DPU 8, Thread 15, Cycles: 384
DPU 9, Thread 0, Cycles: 576
DPU 9, Thread 1, Cycles: 448
DPU 9, Thread 2, Cycles: 480
DPU 9, Thread 3, Cycles: 464
DPU 9, Thread 4, Cycles: 496
DPU 9, Thread 5, Cycles: 496
DPU 9, Thread 6, Cycles: 512
DPU 9, Thread 7, Cycles: 544
DPU 9, Thread 8, Cycles: 560
DPU 9, Thread 9, Cycles: 576
DPU 9, Thread 10, Cycles: 576
DPU 9, Thread 11, Cycles: 576
DPU 9, Thread 12, Cycles: 576
DPU 9, Thread 13, Cycles: 576
DPU 9, Thread 14, Cycles: 592
DPU 9, Thread 15, Cycles: 384
DPU 10, Thread 0, Cycles: 576
DPU 10, Thread 1, Cycles: 448
DPU 10, Thread 2, Cycles: 480
DPU 10, Thread 3, Cycles: 464
DPU 10, Thread 4, Cycles: 496
DPU 10, Thread 5, Cycles: 496
DPU 10, Thread 6, Cycles: 512
DPU 10, Thread 7, Cycles: 544
DPU 10, Thread 8, Cycles: 560
DPU 10, Thread 9, Cycles: 576
DPU 10, Thread 10, Cycles: 576
DPU 10, Thread 11, Cycles: 576
DPU 10, Thread 12, Cycles: 576
DPU 10, Thread 13, Cycles: 576
DPU 10, Thread 14, Cycles: 592
DPU 10, Thread 15, Cycles: 384
DPU 11, Thread 0, Cycles: 576
DPU 11, Thread 1, Cycles: 448
DPU 11, Thread 2, Cycles: 480
DPU 11, Thread 3, Cycles: 464
DPU 11, Thread 4, Cycles: 496
DPU 11, Thread 5, Cycles: 496
DPU 11, Thread 6, Cycles: 512
DPU 11, Thread 7, Cycles: 544
DPU 11, Thread 8, Cycles: 560
DPU 11, Thread 9, Cycles: 576
DPU 11, Thread 10, Cycles: 576
DPU 11, Thread 11, Cycles: 576
DPU 11, Thread 12, Cycles: 576
DPU 11, Thread 13, Cycles: 576
DPU 11, Thread 14, Cycles: 592
DPU 11, Thread 15, Cycles: 384
DPU 12, Thread 0, Cycles: 576
DPU 12, Thread 1, Cycles: 448
DPU 12, Thread 2, Cycles: 480
DPU 12, Thread 3, Cycles: 464
DPU 12, Thread 4, Cycles: 496
DPU 12, Thread 5, Cycles: 496
DPU 12, Thread 6, Cycles: 512
DPU 12, Thread 7, Cycles: 544
DPU 12, Thread 8, Cycles: 560
DPU 12, Thread 9, Cycles: 576
DPU 12, Thread 10, Cycles: 576
DPU 12, Thread 11, Cycles: 576
DPU 12, Thread 12, Cycles: 576
DPU 12, Thread 13, Cycles: 576
DPU 12, Thread 14, Cycles: 592
DPU 12, Thread 15, Cycles: 384
DPU 13, Thread 0, Cycles: 576
DPU 13, Thread 1, Cycles: 448
DPU 13, Thread 2, Cycles: 480
DPU 13, Thread 3, Cycles: 464
DPU 13, Thread 4, Cycles: 496
DPU 13, Thread 5, Cycles: 496
DPU 13, Thread 6, Cycles: 512
DPU 13, Thread 7, Cycles: 544
DPU 13, Thread 8, Cycles: 560
DPU 13, Thread 9, Cycles: 576
DPU 13, Thread 10, Cycles: 576
DPU 13, Thread 11, Cycles: 576
DPU 13, Thread 12, Cycles: 576
DPU 13, Thread 13, Cycles: 576
DPU 13, Thread 14, Cycles: 592
DPU 13, Thread 15, Cycles: 384
DPU 14, Thread 0, Cycles: 576
DPU 14, Thread 1, Cycles: 448
DPU 14, Thread 2, Cycles: 480
DPU 14, Thread 3, Cycles: 464
DPU 14, Thread 4, Cycles: 496
DPU 14, Thread 5, Cycles: 496
DPU 14, Thread 6, Cycles: 512
DPU 14, Thread 7, Cycles: 544
DPU 14, Thread 8, Cycles: 560
DPU 14, Thread 9, Cycles: 576
DPU 14, Thread 10, Cycles: 576
DPU 14, Thread 11, Cycles: 576
DPU 14, Thread 12, Cycles: 576
DPU 14, Thread 13, Cycles: 576
DPU 14, Thread 14, Cycles: 592
DPU 14, Thread 15, Cycles: 384
DPU 15, Thread 0, Cycles: 576
DPU 15, Thread 1, Cycles: 448
DPU 15, Thread 2, Cycles: 480
DPU 15, Thread 3, Cycles: 464
DPU 15, Thread 4, Cycles: 496
DPU 15, Thread 5, Cycles: 496
DPU 15, Thread 6, Cycles: 512
DPU 15, Thread 7, Cycles: 544
DPU 15, Thread 8, Cycles: 560
DPU 15, Thread 9, Cycles: 576
DPU 15, Thread 10, Cycles: 576
DPU 15, Thread 11, Cycles: 576
DPU 15, Thread 12, Cycles: 576
DPU 15, Thread 13, Cycles: 576
DPU 15, Thread 14, Cycles: 592
DPU 15, Thread 15, Cycles: 384
DPU 16, Thread 0, Cycles: 576
DPU 16, Thread 1, Cycles: 448
DPU 16, Thread 2, Cycles: 480
DPU 16, Thread 3, Cycles: 464
DPU 16, Thread 4, Cycles: 496
DPU 16, Thread 5, Cycles: 496
DPU 16, Thread 6, Cycles: 512
DPU 16, Thread 7, Cycles: 544
DPU 16, Thread 8, Cycles: 560
DPU 16, Thread 9, Cycles: 576
DPU 16, Thread 10, Cycles: 576
DPU 16, Thread 11, Cycles: 576
DPU 16, Thread 12, Cycles: 576
DPU 16, Thread 13, Cycles: 576
DPU 16, Thread 14, Cycles: 592
DPU 16, Thread 15, Cycles: 384
DPU 17, Thread 0, Cycles: 576
DPU 17, Thread 1, Cycles: 448
DPU 17, Thread 2, Cycles: 480
